,metric_source,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,4.85714285714285,4.5,4.69230769230769,4.71428571428571,4.9047619047619,5.0,5.0,4.55
1,caseloads_months,44.0,105.0,183.0,215.0,235.0,249.0,213.0,231.0
2,chart_review_months,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
3,documentation_rates_months,0.98076923076923,0.972477064220183,0.98342541436464,0.990384615384615,0.994791666666666,0.98477157360406,0.983739837398374,0.994736842105263
4,mic_utilization_rate_months,0.0,0.0,0.6328125,0.890804597701149,0.825301204819277,0.839506172839506,0.863636363636363,0.781818181818181
5,miss_streak__average_responses_agg_month,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
7,miss_streak__chart_review_months,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8,miss_streak__documentation_rates_months,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0
10,total_num_metric_target_met,2.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0
11,num_month_streak_metric_total_missed_target,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
