,metric_source,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,0.0,0.0,0.0,4.93333333333333,4.96296296296296,4.88372093023255,5.0,4.97222222222222,5.0,4.94117647058823,4.89655172413793
1,caseloads_months,280.0,290.0,290.0,285.0,275.0,301.0,344.0,332.0,358.0,360.0,352.0,363.0
2,chart_review_months,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.833333333333333,1.0
3,documentation_rates_months,0.71345029239766,0.706467661691542,0.649122807017543,0.583333333333333,0.558823529411764,0.825471698113207,0.704081632653061,0.866995073891625,0.981481481481481,0.985365853658536,0.984375,0.995670995670995
4,mic_utilization_rate_months,0.0,0.0,0.0,0.0,0.0,0.0,0.378640776699029,0.409356725146198,0.48469387755102,0.798850574712643,0.802469135802469,0.774509803921568
5,miss_streak__average_responses_agg_month,1.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,0.0,1.0,2.0,0.0,1.0,2.0,3.0,0.0,0.0
8,miss_streak__documentation_rates_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,0.0,0.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,0.0,1.0
10,total_num_metric_target_met,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,5.0,4.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,4.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0
