,metric_source,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,0.0,0.0,0.0,4.72222222222222,4.63636363636363,4.44444444444444,3.71428571428571,4.73333333333333,5.0,4.72727272727272,4.75
1,caseloads_months,247.0,248.0,254.0,241.0,235.0,255.0,269.0,279.0,286.0,290.0,290.0,272.0
2,chart_review_months,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.333333333333333,0.0
3,documentation_rates_months,0.936507936507936,0.972972972972973,0.96551724137931,0.94375,0.957831325301204,0.971098265895953,0.97029702970297,0.923076923076923,0.956521739130434,0.917475728155339,0.927966101694915,0.93069306930693
4,mic_utilization_rate_months,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0342857142857142,0.0533980582524271,0.103448275862068
5,miss_streak__average_responses_agg_month,1.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,4.0,5.0,6.0,0.0,1.0,2.0,3.0,4.0,5.0
8,miss_streak__documentation_rates_months,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
10,total_num_metric_target_met,1.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,4.0,5.0,6.0,0.0,1.0,2.0,3.0,4.0,5.0
