,metric_source,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08
0,average_responses_agg_month,0.0,0.0,0.0,0.0,0.0,0.0,3.875,4.27272727272727,3.66666666666666,4.44444444444444,3.93333333333333,3.72727272727272
1,caseloads_months,1.0,0.0,0.0,0.0,0.0,6.0,75.0,161.0,222.0,254.0,279.0,278.0
2,chart_review_months,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,1.0,1.0,1.0
3,documentation_rates_months,0.0,0.0,0.0,0.0,0.0,1.0,0.847222222222222,0.942446043165467,0.974025974025974,0.973856209150326,0.953125,0.974025974025974
4,mic_utilization_rate_months,0.0,0.0,0.0,0.0,0.0,0.0,0.962962962962962,0.991228070175438,1.0,1.0,0.987577639751552,0.985074626865671
5,miss_streak__average_responses_agg_month,1.0,2.0,3.0,4.0,5.0,6.0,7.0,0.0,1.0,0.0,1.0,2.0
6,miss_streak__caseloads_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0
7,miss_streak__chart_review_months,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,0.0,0.0,0.0
8,miss_streak__documentation_rates_months,1.0,2.0,3.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,miss_streak__mic_utilization_rate_months,1.0,2.0,3.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
10,total_num_metric_target_met,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0
11,num_month_streak_metric_total_missed_target,1.0,2.0,3.0,4.0,5.0,6.0,7.0,0.0,1.0,0.0,0.0,0.0
