PROVIDER_ID,METRIC_INITIAL_MONTH_YEAR,METRIC_FINAL_MONTH_YEAR,METRIC_MONTHS_OBSERVED,INITIAL_METRIC_SCORE,FINAL_METRIC_SCORE,CHANGE_IN_METRIC_SCORE,PCT_CHANGE_IN_METRIC_SCORE,MIC_IMPROVEMENT_MONTHLY,MIC_IMPROVEMENT_RANK_OVERALL_CHANGE,MIC_IMPROVEMENT_RANK_PCT_CHANGE,MIC_IMPROVEMENT_RANK_MONTHLY_CHANGE
19,2024-04-01,2024-08-01,4,0.250000000000,0.838709677400,0.588709677400,235.483870960000,0.147177419350,1,3,2
21,2024-05-01,2024-08-01,3,0.296296296300,0.772277227700,0.475980931400,160.643564345500,0.158660310467,2,5,1
3,2024-03-01,2024-08-01,5,0.378640776700,0.774509803900,0.395869027200,104.550025132000,0.079173805440,3,6,3
8,2024-02-01,2024-08-01,6,0.500000000000,0.839694656500,0.339694656500,67.938931300000,0.056615776083,4,8,7
16,2024-03-01,2024-08-01,5,0.590909090900,0.903743315500,0.312834224600,52.941176471600,0.062566844920,5,9,6
13,2024-04-01,2024-08-01,4,0.265486725700,0.534351145000,0.268864419300,101.272264589200,0.067216104825,6,7,5
9,2024-03-01,2024-08-01,5,0.579710144900,0.809248554900,0.229538410000,39.595375726900,0.045907682000,7,10,9
20,2024-03-01,2024-08-01,5,0.647058823500,0.833333333300,0.186274509800,28.787878788600,0.037254901960,8,11,10
1,2024-03-01,2024-08-01,5,0.057291666670,0.232044198900,0.174752532230,305.022601692800,0.034950506446,9,2,11
27,2024-04-01,2024-07-01,3,0.833333333300,1.000000000000,0.166666666700,20.000000004800,0.055555555567,10,14,8
23,2024-06-01,2024-08-01,2,0.704545454500,0.854838709700,0.150293255200,21.331945900700,0.075146627600,11,13,4
12,2024-03-01,2024-08-01,5,0.632812500000,0.781818181800,0.149005681800,23.546576877000,0.029801136360,12,12,13
11,2024-03-01,2024-08-01,5,0.842465753400,0.966346153800,0.123880400400,14.704502812100,0.024776080080,13,15,15
17,2024-03-01,2024-08-01,5,0.785714285700,0.885572139300,0.099857853600,12.709181367500,0.019971570720,14,16,16
2,2024-06-01,2024-08-01,2,0.034285714290,0.103448275900,0.069162561610,201.724138004000,0.034581280805,15,4,12
15,2024-04-01,2024-08-01,4,0.009009009009,0.074534161490,0.065525152481,727.329192539800,0.016381288120,16,1,17
14,2024-03-01,2024-08-01,5,0.861702127700,0.917475728200,0.055773600500,6.472491909600,0.011154720100,17,17,19
24,2024-06-01,2024-08-01,2,0.947368421100,1.000000000000,0.052631578900,5.555555550300,0.026315789450,18,18,14
22,2024-06-01,2024-08-01,2,0.958333333300,0.981707317100,0.023373983800,2.439024396600,0.011686991900,19,19,18
18,2024-03-01,2024-08-01,5,0.962962963000,0.985074626900,0.022111663900,2.296211251100,0.004422332780,20,20,20
7,2024-03-01,2024-08-01,5,0.988095238100,1.000000000000,0.011904761900,1.204819276600,0.002380952380,21,21,21
10,2024-02-01,2024-08-01,6,1.000000000000,0.834254143600,-0.165745856400,-16.574585640000,-0.027624309400,22,22,22
